Timestamp Start,Emotion,Image,Timestamp End
1552471192,Smile,n02027492_5408.JPEG,1552471194
1552471194,Sad,n01616318_13627.JPEG,1552471196
1552471196,Neutral,n01580077_2121.JPEG,1552471198
1552471198,Neutral,n02970849_3052.JPEG,1552471200
1552471200,Smile,n01560419_8624.JPEG,1552471202
1552471202,Smile,n03838899_32827.JPEG,1552471204
1552471204,Smile,n02091467_2856.JPEG,1552471207
1552471207,Neutral,n03761084_42432.JPEG,1552471210
1552471210,Smile,n02099712_3366.JPEG,1552471213
1552471213,Neutral,n01514668_4792.JPEG,1552471216
1552471216,Neutral,n03062245_73.JPEG,1552471219
1552471219,Smile,n03793489_7246.JPEG,1552471223
1552471223,Smile,n02111889_6595.JPEG,1552471227
1552471227,Smile,n02488291_2742.JPEG,1552471231
1552471231,Neutral,n02488702_5061.JPEG,1552471235
1552471235,Sad,n09835506_19261.JPEG,1552471239
1552471239,Smile,n01843065_2113.JPEG,1552471244
1552471244,Sad,n03633091_14821.JPEG,1552471249
1552471249,Neutral,n01843383_10242.JPEG,1552471254
1552471254,Sad,n02093256_14809.JPEG,1552471259
1552471259,Smile,n02676566_8925.JPEG,1552471264
1552471264,Neutral,n02087394_5846.JPEG,1552471270
1552471270,Neutral,n01753488_5117.JPEG,1552471276
1552471276,Smile,n04074963_31104.JPEG,1552471282
1552471282,Sad,n03804744_1714.JPEG,1552471288
1552471288,Neutral,n02111500_4802.JPEG,1552471294
1552471294,Smile,n01558993_1653.JPEG,1552471301
1552471301,Neutral,n02086910_6787.JPEG,1552471308
1552471308,Neutral,n03483316_17231.JPEG,1552471315
1552471315,Smile,n02509815_9487.JPEG,1552471322
1552471322,Smile,n02764044_26012.JPEG,1552471329
1552471329,Neutral,n04334599_3843.JPEG,1552471337
1552471337,Neutral,n02105505_1191.JPEG,1552471345
1552471345,Smile,n03908714_9577.JPEG,1552471353
1552471353,Smile,n01820546_6934.JPEG,1552471361
1552471361,Smile,n01749939_4627.JPEG,1552471369
1552471369,Sad,n01608432_8603.JPEG,1552471378
1552471378,Sad,n02028035_2782.JPEG,1552471387
1552471387,Smile,n07697100_18026.JPEG,1552471395
1552471395,Smile,n03594945_8620.JPEG,1552471404
1552471404,Neutral,n02088238_7585.JPEG,1552471413
1552471413,Smile,n02110958_7505.JPEG,1552471423
1552471423,Smile,n01532829_82.JPEG,1552471433
1552471433,Neutral,n04357314_10184.JPEG,1552471443
1552471443,Sad,n02123394_3770.JPEG,1552471453
