Timestamp Start,Emotion,Image,Timestamp End
1555500902,Smile,n02112350_6940.JPEG,1555500907
1555500907,Neutral,n04442312_11458.JPEG,1555500912
1555500912,Neutral,n04509417_2300.JPEG,1555500917
1555500917,Neutral,n02089078_1583.JPEG,1555500922
1555500922,Smile,n03038685_2722.JPEG,1555500927
1555500927,Smile,n01687978_6809.JPEG,1555500932
1555500932,Smile,n01692333_1142.JPEG,1555500937
1555500937,Smile,n04252225_23779.JPEG,1555500942
1555500942,Smile,n01693334_10839.JPEG,1555500947
1555500947,Smile,n04591713_19098.JPEG,1555500952
1555500952,Sad,n04429376_5135.JPEG,1555500957
1555500957,Sad,n02101006_4093.JPEG,1555500962
1555500962,Sad,n03720891_5140.JPEG,1555500967
1555500967,Smile,n02086910_6415.JPEG,1555500972
1555500972,Smile,n03128519_10774.JPEG,1555500977
1555500977,Smile,n02076196_6918.JPEG,1555500982
1555500982,Sad,n01689811_2071.JPEG,1555500987
1555500987,Smile,n02802426_681.JPEG,1555500992
1555500992,Smile,n02690373_3326.JPEG,1555500997
1555500997,Smile,n02107908_2534.JPEG,1555501002
1555501002,Smile,n07880968_5785.JPEG,1555501007
1555501007,Smile,n03770439_1383.JPEG,1555501012
1555501012,Smile,n02804414_4311.JPEG,1555501017
1555501017,Smile,n02487347_10991.JPEG,1555501022
1555501022,Smile,n07742313_5751.JPEG,1555501027
1555501027,Sad,n01726692_2575.JPEG,1555501032
1555501032,Smile,n07745940_11210.JPEG,1555501037
1555501037,Smile,n02102040_2991.JPEG,1555501042
1555501042,Neutral,n07718472_20626.JPEG,1555501047
1555501047,Smile,n01855032_4022.JPEG,1555501052
1555501052,Smile,n04254120_264.JPEG,1555501057
1555501057,Smile,n02084071_1558.JPEG,1555501062
1555501062,Smile,n04273569_26577.JPEG,1555501067
1555501067,Smile,n02097658_1716.JPEG,1555501072
1555501072,Sad,n04335209_8801.JPEG,1555501077
1555501077,Smile,n02328150_10460.JPEG,1555501082
1555501082,Smile,n02108551_8879.JPEG,1555501087
1555501087,Smile,n03792782_25799.JPEG,1555501092
1555501092,Smile,n02124075_843.JPEG,1555501097
1555501097,Smile,n02013706_2674.JPEG,1555501102
1555501102,Smile,n04606251_11385.JPEG,1555501107
1555501107,Sad,n04357314_3842.JPEG,1555501112
1555501112,Smile,n03710721_2433.JPEG,1555501117
1555501117,Smile,n01514668_7269.JPEG,1555501122
1555501122,Smile,n02880940_5829.JPEG,1555501127
