Timestamp Start,Emotion,Image,Timestamp End
1552472735,N/A,n02110958_7505.JPEG,1552472736
1552472736,Neutral,n02111500_4802.JPEG,1552472739
1552472739,Smile,n03793489_7246.JPEG,1552472740
1552472740,Sad,n02488291_2742.JPEG,1552472743
1552472743,Sad,n02091467_2856.JPEG,1552472745
1552472745,Sad,n03908714_9577.JPEG,1552472747
1552472747,Sad,n03761084_42432.JPEG,1552472750
1552472750,Neutral,n01616318_13627.JPEG,1552472753
1552472753,Sad,n02970849_3052.JPEG,1552472755
1552472755,Smile,n01580077_2121.JPEG,1552472759
1552472759,Neutral,n01749939_4627.JPEG,1552472762
1552472762,Smile,n04357314_10184.JPEG,1552472765
1552472765,Sad,n02087394_5846.JPEG,1552472769
1552472769,Smile,n02676566_8925.JPEG,1552472773
1552472773,Sad,n03062245_73.JPEG,1552472778
1552472778,Smile,n02099712_3366.JPEG,1552472781
1552472781,Sad,n03483316_17231.JPEG,1552472786
1552472786,Smile,n01843065_2113.JPEG,1552472791
1552472791,Sad,n03804744_1714.JPEG,1552472796
1552472796,Smile,n02088238_7585.JPEG,1552472801
1552472801,Sad,n07697100_18026.JPEG,1552472806
1552472806,Neutral,n04334599_3843.JPEG,1552472813
1552472813,Sad,n02027492_5408.JPEG,1552472819
1552472819,Neutral,n02123394_3770.JPEG,1552472824
1552472824,Neutral,n03633091_14821.JPEG,1552472830
1552472830,Neutral,n03838899_32827.JPEG,1552472837
1552472837,Smile,n01608432_8603.JPEG,1552472843
1552472843,Smile,n02764044_26012.JPEG,1552472851
1552472851,Smile,n01843383_10242.JPEG,1552472857
1552472857,Sad,n02086910_6787.JPEG,1552472864
1552472865,Smile,n01820546_6934.JPEG,1552472871
1552472871,Sad,n01753488_5117.JPEG,1552472880
1552472880,Smile,n02509815_9487.JPEG,1552472887
1552472887,Sad,n02488702_5061.JPEG,1552472895
1552472895,Smile,n01514668_4792.JPEG,1552472904
1552472904,Smile,n01532829_82.JPEG,1552472912
1552472912,Smile,n02093256_14809.JPEG,1552472921
1552472921,Neutral,n01560419_8624.JPEG,1552472929
1552472929,Neutral,n02028035_2782.JPEG,1552472938
1552472938,Sad,n02105505_1191.JPEG,1552472947
1552472947,Sad,n03594945_8620.JPEG,1552472956
1552472956,Sad,n04074963_31104.JPEG,1552472966
1552472966,Smile,n01558993_1653.JPEG,1552472977
1552472977,Neutral,n02111889_6595.JPEG,1552472987
1552472987,Sad,n09835506_19261.JPEG,1552472996
