Timestamp Start,Emotion,Image,Timestamp End
1555496984,Neutral,n04509417_2300.JPEG,1555496989
1555496989,Smile,n02112350_6940.JPEG,1555496994
1555496994,Neutral,n02802426_681.JPEG,1555496999
1555496999,Neutral,n02084071_1558.JPEG,1555497004
1555497004,Smile,n03770439_1383.JPEG,1555497009
1555497009,N/A,n04335209_8801.JPEG,1555497014
1555497014,Neutral,n04442312_11458.JPEG,1555497019
1555497019,Smile,n02108551_8879.JPEG,1555497024
1555497024,Neutral,n03792782_25799.JPEG,1555497029
1555497029,Smile,n02328150_10460.JPEG,1555497034
1555497034,Smile,n02487347_10991.JPEG,1555497039
1555497039,Smile,n01693334_10839.JPEG,1555497044
1555497044,Smile,n02102040_2991.JPEG,1555497049
1555497049,Neutral,n04252225_23779.JPEG,1555497054
1555497054,Sad,n01726692_2575.JPEG,1555497059
1555497059,Neutral,n01855032_4022.JPEG,1555497064
1555497064,Neutral,n04273569_26577.JPEG,1555497069
1555497069,Neutral,n07718472_20626.JPEG,1555497074
1555497074,Neutral,n02690373_3326.JPEG,1555497079
1555497079,Smile,n03720891_5140.JPEG,1555497084
1555497084,Neutral,n02880940_5829.JPEG,1555497089
1555497089,Neutral,n04591713_19098.JPEG,1555497094
1555497094,Smile,n02107908_2534.JPEG,1555497099
1555497099,Neutral,n03038685_2722.JPEG,1555497104
1555497104,Neutral,n03710721_2433.JPEG,1555497109
1555497109,Neutral,n02804414_4311.JPEG,1555497114
1555497114,Neutral,n01514668_7269.JPEG,1555497119
1555497119,Neutral,n02013706_2674.JPEG,1555497124
1555497124,Smile,n02076196_6918.JPEG,1555497129
1555497129,Smile,n04357314_3842.JPEG,1555497134
1555497134,Neutral,n02101006_4093.JPEG,1555497139
1555497139,Neutral,n03128519_10774.JPEG,1555497144
1555497144,Neutral,n07745940_11210.JPEG,1555497149
1555497149,Smile,n02086910_6415.JPEG,1555497154
1555497154,Neutral,n01692333_1142.JPEG,1555497159
1555497159,Neutral,n01689811_2071.JPEG,1555497164
1555497164,Neutral,n07742313_5751.JPEG,1555497169
1555497169,Neutral,n04429376_5135.JPEG,1555497174
1555497174,Smile,n02124075_843.JPEG,1555497179
1555497179,Neutral,n04606251_11385.JPEG,1555497184
1555497184,Neutral,n01687978_6809.JPEG,1555497189
1555497189,Smile,n07880968_5785.JPEG,1555497194
1555497194,Sad,n02097658_1716.JPEG,1555497199
1555497199,Neutral,n02089078_1583.JPEG,1555497204
1555497204,Neutral,n04254120_264.JPEG,1555497209
